,id,username,geo,created_at,date,tweet,language,hashtags,cashtags,link,urls,photos,video,nlikes,nreplies,nretweets
4394,1.49E+18,AutoTraderSA, ,1.64449E+12,2022-02-10T20:01:44Z,Join us in the AutoTrader studio where @MartinAutoTradr points out some of the exciting updates you can expect on the latest BMW X3 range👌  https://t.co/gwI80Sz6hu #BMW #X3xDrive #QuickReview #CarReview,en,"['bmw', 'x3xdrive', 'quickreview', 'carreview']",[],https://twitter.com/AutoTraderSA/status/1491744189113151497,['https://bit.ly/BMWX3xDrive20d2022QuickReview'],[],0,1,0,0
4395,1.49E+18,bmwindia, ,1.64449E+12,2022-02-10T19:46:58Z,Ahmedabad! Get ready for a weekend of adrenaline-pumping action.  The #BMW Joyfest begins in 2 days.    #BMWJoyfest #StayTuned  https://t.co/GbRs7sFzIz,en,"['bmw', 'bmwjoyfest', 'staytuned']",[],https://twitter.com/bmwindia/status/1491740472208867329,[],[],1,56,1,6
4396,1.49E+18,BrandonRothCNY, ,1.64449E+12,2022-02-10T19:44:57Z,Looking for a new car? This 2022 Chevy Convertible is just one of hundreds of cars you can check out at this years Syracuse Auto Expo details coming up on @CNYCentral @SyracuseAuto @chevrolet @Ford @Chrysler @Toyota @Jeep @Audi @BMW @subaru_usa @kia @VW @MazdaUSA @Honda @dodge  https://t.co/9ldiawxnwX,en,[],[],https://twitter.com/BrandonRothCNY/status/1491739964731707394,[],['https://pbs.twimg.com/media/FLO5lqfWQAQNnGs.jpg'],1,5,1,0
4397,1.49E+18,BMW_UK, ,1.64449E+12,2022-02-10T19:25:01Z,"@connor_wroot It's disappointing to hear you haven't had a response from BMW Financial Services, Connor. Please DM us your VIN and the name of the consultant dealing with your case so we can ask them to contact you as soon as possible.",en,[],[],https://twitter.com/BMW_UK/status/1491734949111734276,[],[],0,0,0,0
4398,1.49E+18,BMW, ,1.64449E+12,2022-02-10T19:22:41Z,@augustofarfus @BMW_Welt @BMW_Classic @BMWMotorsport What a unique experience! Thank you for sharing this with us 💙,en,[],[],https://twitter.com/BMW/status/1491734360415952900,[],[],0,3,0,0
4399,1.49E+18,carwowuk, ,1.64449E+12,2022-02-10T19:08:46Z,👀 @matwatsoncars has got a new daily driver and it’s another BMW - but do you know which model it is? 🤔  Hit the link for the big reveal!  https://t.co/7cEWMqTysT  https://t.co/Hpf9uYlBXQ,en,[],[],https://twitter.com/carwowuk/status/1491730858520293379,['https://bit.ly/carwow-LTR-Reveal-1002'],['https://pbs.twimg.com/media/FLOvUGMXwAEaHvX.jpg'],1,85,11,0
4400,1.49E+18,BMWMotorsport, ,1.64449E+12,2022-02-10T18:39:16Z,May the action continue! Preparations for the 2022 #BMWM2Cup are underway and YOU can be part of it. Show us your skills and prove your talent on the great @DTM stage.   Register now for the 2022 BMW M2 Cup!  🌐  https://t.co/UhFW1C3Rr5  #BMWM2CSRacing #BMWMMotorsport  https://t.co/LDJnXfOGZD,en,"['bmwm2cup', 'bmwm2csracing', 'bmwmmotorsport']",[],https://twitter.com/BMWMotorsport/status/1491723433994031105,['http://bmwm2cup.com/en/registration'],[],1,80,1,13
4401,1.49E+18,odmag, ,1.64449E+12,2022-02-10T18:32:06Z,"The BMW M4's petrol engine generates 510PS and 650 Nm of torque between 2,750 and 5,500 rpm. It will take you just under 3.5 seconds, to race the BMW M4 Competition from0 to 100kmph #BMW #BMWm4  https://t.co/7jVeNVOX99",en,"['bmw', 'bmwm4']",[],https://twitter.com/odmag/status/1491721630460293120,['https://www.overdrive.in/news-cars-auto/bmw-launch-the-m4-competition-xdrive-in-india-at-rs-1-43-crore-ex-showroom/'],[],0,4,0,0
4402,1.49E+18,AutoNewsEurope, ,1.64449E+12,2022-02-10T18:29:04Z,BMW edges challenger Tesla in 2021 U.S. luxury registrations  https://t.co/CokGbw7E7R  https://t.co/UtfO3L2okm,en,[],[],https://twitter.com/AutoNewsEurope/status/1491720868921151488,['http://dlvr.it/SJk3Z1'],['https://pbs.twimg.com/media/FLOoOZPUYAMEo2L.jpg'],1,0,0,0
4403,1.49E+18,autox, ,1.64449E+12,2022-02-10T18:26:53Z,Click the link below to read all about the new #BMW #M4Competition ⬇️   https://t.co/UYtcXtLorY  @bmwindia @BMW,en,"['bmw', 'm4competition']",[],https://twitter.com/autox/status/1491720318922428419,['https://www.autox.com/news/car-news/bmw-launches-m4-competition-coupe-at-rs-143-crore-110724/'],[],0,1,0,1
