,id,username,geo,created_at,date,tweet,language,hashtags,cashtags,link,urls,photos,video,thumbnail,nlikes,nreplies,nretweets
49,1.51e+18,inventivaindia,India,1650000000000.0,2022-09-04T20:10:00Z,IT firm CEO rewards colleagues’ loyalty with BMW cars  https://t.co/FjB2Vvg51m,en,[],[],https://twitter.com/inventivaindia/status/1512764823116779526,['https://www.inventiva.co.in/trends/it-firm-ceo-rewards/'],[],0, ,0,0,0
50,1.51e+18,CarbonFactory3,France,1650000000000.0,2022-09-04T20:03:00Z,🔥🔥🔥This is selling fast! 🔥🔥🔥  💥💥BMW F10 5 Series 3D Style Carbon Fibre Front Splitter 10-17 💥💥  Speak to us for your CF dose😍😍  🚗Like ● Follow ● Share 🚕  https://t.co/MYvzlAONxE,en,[],[],https://twitter.com/CarbonFactory3/status/1512763094119952385,[],['https://pbs.twimg.com/media/FP5qBKGWUAMbwSK.jpg'],1,https://pbs.twimg.com/media/FP5qBKGWUAMbwSK.jpg,0,0,0
51,1.51e+18,SansaniPatrakar,India,1650000000000.0,2022-09-04T19:59:00Z,"Warning: Graphic content  Crazy accident in Mangalore - BMW jumps divider, crashes into another car  https://t.co/MH6nTNtX2Q",en,[],[],https://twitter.com/SansaniPatrakar/status/1512762126821371904,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1512762041781878790/pu/img/dms3k41EPyebvJjB.jpg,0,0,0
52,1.51e+18,OTReSport,France,1650000000000.0,2022-09-04T19:57:00Z,"🟡 #iRacing #24h_of_Nurburgring 🟡  New colours, new design, new partners, new website and.. NEW RACEDAY 🏁   ⏰ At 14:00pm (BST), the 24h of Nurburgring on @iRacing begins!  OTR John02 🇫🇷/ OTR Angy02 🇫🇷 and OTR Amnezouz 🇫🇷 compose #Team_OTR_BarjoZoku on BMW M4 GT3  Good Luck 💪🏻  https://t.co/zZPROklrkV",en,"['iracing', '24h_of_nurburgring', 'team_otr_barjozoku']",[],https://twitter.com/OTReSport/status/1512761565149372416,[],['https://pbs.twimg.com/media/FP5on9kWYAM7xKB.jpg'],1,https://pbs.twimg.com/media/FP5on9kWYAM7xKB.jpg,6,0,1
53,1.51e+18,HutchPost,USA,1650000000000.0,2022-09-04T19:53:00Z,"Kansas man dead, another injured after pickup, BMW crash  https://t.co/aRex18oryU",en,[],[],https://twitter.com/HutchPost/status/1512760493961736195,['http://dlvr.it/SNGTC1'],[],0, ,0,0,0
54,1.51e+18,SalinaPost,USA,1650000000000.0,2022-09-04T19:51:00Z,"Kansas man dead, another injured after pickup, BMW crash  https://t.co/VfPbMbIfq2",en,[],[],https://twitter.com/SalinaPost/status/1512759988371918852,['http://dlvr.it/SNGSvg'],[],0, ,0,0,0
55,1.51e+18,hayspost,USA,1650000000000.0,2022-09-04T19:48:00Z,"Kansas man dead, another injured after pickup, BMW crash  https://t.co/8uh3M0IGGY",en,[],[],https://twitter.com/hayspost/status/1512759362300747778,['http://dlvr.it/SNGSkk'],[],0, ,0,0,0
56,1.51e+18,Gerryinger1,Germany,1650000000000.0,2022-09-04T19:47:00Z,@jmvasquez1974 Looks like the original. Authentic with some spare part areas to restore functionality... Is this a replica or an original sidecar BMW R 12??? 🤔,en,[],[],https://twitter.com/Gerryinger1/status/1512759165881569281,[],[],0, ,0,0,0
57,1.51e+18,crypto_merlion,Singapore,1650000000000.0,2022-09-04T19:29:00Z,"@satsdart I think that's a 488 - list price is about £170k in the UK (sigh - that's like the price of a basic BMW in Singapore) - and they drove about 3,200m. So it just them just over £50 per metre.",en,[],[],https://twitter.com/crypto_merlion/status/1512754646036537350,[],[],0, ,2,3,0
58,1.51e+18,XrpLauren,UK,1650000000000.0,2022-09-04T19:23:00Z,@K1TSUNE20 @AlexCobb_ Not as much as BMW though,en,[],[],https://twitter.com/XrpLauren/status/1512753047914565635,[],[],0, ,0,1,0
59,1.51e+18,manatrue,UK,1650000000000.0,2022-09-04T19:22:00Z,@perfumeithaki @redflag3rd @cool_grandad USA greedy for BMW ?   Biden made wheels lol,en,[],[],https://twitter.com/manatrue/status/1512752845497552897,[],[],0, ,2,1,1
60,1.51e+18,97_affan,France,1650000000000.0,2022-09-04T19:21:00Z,"When Brentford were in the Championship I used to watch their games a lot. Their trio 'BMW' (Benrahma, Mbuemo and Watkins) used to tear the league apart. They probably deserved to be promoted in the 19/20 season but lost to Fulham who got relegated again.",en,[],[],https://twitter.com/97_affan/status/1512752665003966464,[],[],0, ,0,0,0
61,1.51e+18,rvp,India,1650000000000.0,2022-09-04T19:20:00Z,#RaviVisvesvarayaSharadaPrasad   https://t.co/DWWfus8eO1 IT firm Kissflow Inc rewards senior executives&amp;#039; loyalty with BMW cars,en,['ravivisvesvarayasharadaprasad'],[],https://twitter.com/rvp/status/1512752297624981504,['https://www.businesstoday.in/latest/corporate/story/it-firm-kissflow-inc-rewards-senior-executives-loyalty-with-bmw-cars-329272-2022-04-09?utm_source=rssfeed'],[],0, ,0,0,0
62,1.51e+18,IkeHorsman,UK,1650000000000.0,2022-09-04T19:15:00Z,"@motomatters Jeez how bad is Scott Redding doing on the BMW, he’s getting out qualified by all other BMW riders, even the stand in temp rider, not looking good for him at all.",en,[],[],https://twitter.com/IkeHorsman/status/1512751112247558151,[],[],0, ,1,0,0
