,id,username,created_at,date,tweet,language,hashtags,cashtags,link,urls,photos,video,thumbnail,nlikes,nreplies,nretweets
355,1508342958671958017,HTAutotweets,1648451959000.0,2022-03-28 15:19:19,Take a look at this 1966 Volvo P1800 model. It isn't just decades old and still is gleaming fine - but has also run over 48 lakh kilometres!   This particular @volvocars model finds a place in @GWR. Read on.   https://t.co/n0EzVAtdah,en,[],[],https://twitter.com/HTAutotweets/status/1508342958671958017,['https://auto.hindustantimes.com/auto/news/terminator-of-cars-this-1966-volvo-has-been-driven-over-48-lakh-kilometres-41648445504793.html'],[],0,,3,0,2
357,1508335754749136896,volvocars,1648450242000.0,2022-03-28 14:50:42,"@Dolpff Hello, each market has the mandate to assess which models should be offered in their country, based on previous sales and demand. We are, unfortunately, not able to influence this.",en,[],[],https://twitter.com/volvocars/status/1508335754749136896,[],[],0,,0,1,0
358,1508333147414577158,volvocars,1648449620000.0,2022-03-28 14:40:20,"@CanadaVolvos Hello, we have sent you a message, please check your inbox.",en,[],[],https://twitter.com/volvocars/status/1508333147414577158,[],[],0,,0,0,0
363,1508232668042911747,clevelanddotcom,1648425664000.0,2022-03-28 08:01:04,"A 36-year-old man – identified as Marshall Taylor, of Elyria – was driving northbound in his Volvo sedan when he went off the road and struck a utility pole, which caused the car to overturn, authorities said. Taylor was ejected from the car in the crash.  https://t.co/NeY6E4k4lY",en,[],[],https://twitter.com/clevelanddotcom/status/1508232668042911747,['https://trib.al/z3pWv2p'],[],0,,3,1,1
366,1508170784577327104,HindustanTimes,1648410910000.0,2022-03-28 03:55:10,"Now, travel from Chandigarh airport to Shimla, Dharamshala, Manali on a Volvo  https://t.co/TTUCJYLoNk",en,[],[],https://twitter.com/HindustanTimes/status/1508170784577327104,['https://www.hindustantimes.com/cities/chandigarh-news/now-travel-from-chandigarh-airport-to-shimla-dharamshala-manali-on-a-volvo-101648410900356.html'],[],0,,1,1,0
367,1508151622681219078,VolvoTrucksUK,1648406341000.0,2022-03-28 02:39:01,"Ending the week with this stunning sunset photo🌅    📸Credits to driver Luke Williams🙌⬇️   For the chance of being featured, DM or tag us in your photos!💙   #VolvoTrucks #VolvoTrucksmoments #VolvoTrucker #Trucker #Truckspotting #Truckphotography #Truck #Trucks #Truckdriver  https://t.co/Pz9q9l6kVY",en,"['volvotrucks', 'volvotrucksmoments', 'volvotrucker', 'trucker', 'truckspotting', 'truckphotography', 'truck', 'trucks', 'truckdriver']",[],https://twitter.com/VolvoTrucksUK/status/1508151622681219078,[],['https://pbs.twimg.com/media/FO4H6BGXwAYf2Ij.jpg'],1,https://pbs.twimg.com/media/FO4H6BGXwAYf2Ij.jpg,35,0,2
368,1508146283286081546,VolvoCarUK,1648405068000.0,2022-03-28 02:17:48,"@rifle36 We are sorry to hear of your most recent experience. Please could you DM us further information, we can get this looked into for you. Best Regards, Volvo Cars",en,[],[],https://twitter.com/VolvoCarUK/status/1508146283286081546,[],[],0,,0,0,0
369,1508133245795241985,vagina_museum,1648401960000.0,2022-03-28 01:26:00,"FANNY FACT: ""vulva"" and ""Volvo"" actually *do* have the same roots as well as sounding similar in a way which can be very funny.   Both are rooted in the Latin word ""volvere"".",en,[],[],https://twitter.com/vagina_museum/status/1508133245795241985,[],[],0,,252,6,36
372,1508096252088569859,therealautoblog,1648393140000.0,2022-03-27 22:59:00,"2022 Volvo C40 Recharge First Drive Review | All electric, all Swedish:  https://t.co/6yOiWcXwaW  https://t.co/0CFSy3AJc3",en,[],[],https://twitter.com/therealautoblog/status/1508096252088569859,['https://bit.ly/3ioBCqv'],"['https://pbs.twimg.com/media/FOehap0X0AM2V-c.jpg', 'https://pbs.twimg.com/media/FOehaq2WUAIJdSP.jpg', 'https://pbs.twimg.com/media/FOeharvXMAA0yfp.jpg', 'https://pbs.twimg.com/media/FOehaseXsAUGPg-.jpg']",1,https://pbs.twimg.com/media/FOehap0X0AM2V-c.jpg,57,1,6
377,1508073940568219650,roadshow,1648387820000.0,2022-03-27 21:30:20,Håkan Samuelsson: Exit interview with the CEO who rebooted Volvo  https://t.co/Xv92BuIoUe,en,[],[],https://twitter.com/roadshow/status/1508073940568219650,['https://trib.al/mziy10t'],[],0,,2,0,0
381,1507953082457640965,volvocarsin,1648359005000.0,2022-03-27 13:30:05,The new Volvo XC90 petrol with mild hybrid technology comes equipped with advanced safety features to protect you and your passengers at all times.  Find out more :  https://t.co/zY9eNMvzwl  #VolvoIndia #XC90  https://t.co/MNXwym7j9t,en,"['volvoindia', 'xc90']",[],https://twitter.com/volvocarsin/status/1507953082457640965,['https://bit.ly/3uDtckW'],['https://pbs.twimg.com/media/FO1TVezWYAILc_R.jpg'],1,https://pbs.twimg.com/media/FO1TVezWYAILc_R.jpg,2962,33,238
382,1507941640350011393,Ohthatflo,1648356277000.0,2022-03-27 12:44:37,"@tuanies I tried really hard to get a picture but i saw a Volvo today with a license plate frame that said ""caution: swedish driver""",en,[],[],https://twitter.com/Ohthatflo/status/1507941640350011393,[],[],0,,1,0,0
385,1507892912226545669,therealautoblog,1648344660000.0,2022-03-27 09:31:00,Volvo LX03 construction concept inspired by LEGO becomes reality.  https://t.co/neKXfj1Tkr,en,[],[],https://twitter.com/therealautoblog/status/1507892912226545669,[],[],1,https://pbs.twimg.com/media/FDRyFnbWYAYMwA0.jpg,59,3,10
388,1507877356437794817,KOINNews,1648340951000.0,2022-03-27 08:29:11,"Workers at Starbucks, Volvo hold pro-union rallies   https://t.co/sObtGaZlM0  https://t.co/5xIF2mrTQ9",en,[],[],https://twitter.com/KOINNews/status/1507877356437794817,['https://www.koin.com/local/multnomah-county/workers-at-starbucks-volvo-hold-pro-union-rallies/'],['https://pbs.twimg.com/media/FO0Ob-2VQAQ0BOW.jpg'],1,https://pbs.twimg.com/media/FO0Ob-2VQAQ0BOW.jpg,5,0,1
390,1507869800273432581,RealTomPetrini,1648339149000.0,2022-03-27 07:59:09,"Just saw a slab meetup and wondered aloud, “what’s the dumbest car you could do that to” and at that moment I got cut off by a dude in a 90’s Volvo station wagon with em",en,[],[],https://twitter.com/RealTomPetrini/status/1507869800273432581,[],[],0,,6,1,1
393,1507840105557467141,ColinTurkington,1648332070000.0,2022-03-27 06:01:10,@Trevor6080 @SilverstoneUK @OfficialBARCHQ The Volvo!! My car only wanted to do 12 of the 13 laps 😭  https://t.co/B4DPMJIdwv,en,[],[],https://twitter.com/ColinTurkington/status/1507840105557467141,[],['https://pbs.twimg.com/media/FOzslVNWQAANgKv.jpg'],1,https://pbs.twimg.com/media/FOzslVNWQAANgKv.jpg,0,0,0
394,1507823978563391495,gregallenRTE,1648328225000.0,2022-03-27 04:57:05,"@edebaroid McGinley won the 2005 Volvo Masters at Valderrama, the European Tour Championship. One of the deepest leaderboards in the C’ship history. Won by 2 from Sergio Garcia.Tied 3rd was Monty, Donald and Olazabal, Westwood back in 7th. McGinley covered the last 53 holes without a bogey.",en,[],[],https://twitter.com/gregallenRTE/status/1507823978563391495,[],[],0,,0,1,0
395,1507806326684291073,IXCairport,1648324016000.0,2022-03-27 03:46:56,"Fare and scheduled timings of #HRTC Volvo bus from @IXCairport to Shimla, Manali &amp; Dharamshala is shown below:  https://t.co/eaMQQRjN8P",en,['hrtc'],[],https://twitter.com/IXCairport/status/1507806326684291073,[],['https://pbs.twimg.com/media/FOzN3LUaIAALxIB.jpg'],1,https://pbs.twimg.com/media/FOzN3LUaIAALxIB.jpg,3,1,0
396,1507786264006832143,JeremyClarkson,1648319233000.0,2022-03-27 02:27:13,"Volvo, it seems, has much to learn from Haas.",en,[],[],https://twitter.com/JeremyClarkson/status/1507786264006832143,[],[],0,,18154,211,602
397,1507764472810811396,stratorob,1648314037000.0,2022-03-27 01:00:37,"Volvo's parent company establishes #blockchain joint venture headquarters in Wuxi, #China  https://t.co/NacQTKKi1K @Cointelegraph via @stratorob  @volvocars @dinisguarda @Stevewal63 @UrsBolt @efipm @AkwyZ @justinsuntron #Technology #BlockchainTechnology #Business #News #Innovation",en,"['blockchain', 'china', 'technology', 'blockchaintechnology', 'business', 'news', 'innovation']",[],https://twitter.com/stratorob/status/1507764472810811396,['https://cointelegraph.com/news/volvo-s-parent-company-establishes-blockchain-joint-venture-headquarters-in-wuxi-china'],[],0,,1,1,3
401,1507749355998089221,VolvoTrucksUK,1648310433000.0,2022-03-27 00:00:33,"Smart safety, improved ergonomics, maximum comfort. Is it time you explored our versatile Volvo FM?  Optimise your operations 👇  https://t.co/9ddICL9XB7  #volvofm #drivingprogress  https://t.co/DSDAZMa68n",en,"['volvofm', 'drivingprogress']",[],https://twitter.com/VolvoTrucksUK/status/1507749355998089221,['https://bit.ly/3wjg6vy'],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1507749254684626953/pu/img/P_Wvrt7i41O2z_aF.jpg,8,0,1
403,1507735920526729223,VolvoCarUK,1648307230000.0,2022-03-26 23:07:10,"@StuartBrown__ Thank you for reaching out to us, please could you DM us your vehicle reg and postcode. We will be happy to reach out to the supplier for you. Kind Regards, Volvo Cars.",en,[],[],https://twitter.com/VolvoCarUK/status/1507735920526729223,[],[],0,,0,0,0
406,1507637181485142016,NotifyNYC,1648283689000.0,2022-03-26 16:34:49,"#MissingVulnerableAdult Harold S. Kaplan, M/W/85, driving a 2008 blue Volvo C-30 with NYS Plate: CU508K, from Irvington, NY. Seen? Call 9-1-1. Multilingual &amp; ASL Link:  https://t.co/YuJCWU4Yr9.  https://t.co/nsuXvw7wxJ",en,['missingvulnerableadult'],[],https://twitter.com/NotifyNYC/status/1507637181485142016,['http://on.nyc.gov/1UYt0TX'],['https://pbs.twimg.com/media/FOwziePWUAEe1CP.jpg'],1,https://pbs.twimg.com/media/FOwziePWUAEe1CP.jpg,6,0,9
408,1507598284336021504,VolvoCEGlobal,1648274415000.0,2022-03-26 14:00:15,"Each year, Volvo facilities across the world are turning off all lights during #EarthHour to symbolically show our commitment to drive change and willingness to fight climate change – every day. Switch off with us at 8.30 PM!  https://t.co/WCDg8DlAmd",en,['earthhour'],[],https://twitter.com/VolvoCEGlobal/status/1507598284336021504,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1507596999713075201/pu/img/BOqScuVCltHKGgJ2.jpg,15,0,2
412,1507550862008549376,moneycontrolcom,1648263109000.0,2022-03-26 10:51:49,"#AutoWithMC: Volvo’s approach to suitably contemporising the XC90 has been to throw in a new 2.0-litre, four-cylinder petrol motor. So, the question is, can the new XC90 B6 justify its price tag? 🚗  Find out 👇  https://t.co/63luE2TLYC  @ParthCharan ✍️ | #VolvoXC90B6 #XC90 #Volvo",en,"['autowithmc', 'volvoxc90b6', 'xc90', 'volvo']",[],https://twitter.com/moneycontrolcom/status/1507550862008549376,['https://www.moneycontrol.com/news/automobile/2022-volvo-xc90-b6-a-gentleman-off-roader-that-exemplifies-scandinavian-minimalism-8276821.html'],[],0,,8,0,0
413,1507452283746979856,ThatChrisRyan,1648239606000.0,2022-03-26 04:20:06,@SimonRex But a Volvo? Is that a Rexmobile?,en,[],[],https://twitter.com/ThatChrisRyan/status/1507452283746979856,[],[],0,,0,0,0
414,1507448502636359682,Jalopnik,1648238704000.0,2022-03-26 04:05:04,"Plymouth Prowler, Volvo 1800S, Volkswagen 412 Wagon: The Dopest Cars I Found For Sale Online  https://t.co/AixaAHYing  https://t.co/rH9VXh52vt",en,[],[],https://twitter.com/Jalopnik/status/1507448502636359682,['http://dlvr.it/SMNHyt'],['https://pbs.twimg.com/media/FOuIbHgVkAENCKv.jpg'],1,https://pbs.twimg.com/media/FOuIbHgVkAENCKv.jpg,15,0,3
416,1507423127307010062,thesportsGab,1648232654000.0,2022-03-26 02:24:14,@Volvo_Roger Haha awesome!,en,[],[],https://twitter.com/thesportsGab/status/1507423127307010062,[],[],0,,1,0,0
